transects,model,bias_per_transect,observed_nests
bias_tr1,MHDS,-0.050368019,8.659666667
bias_tr2,MHDS,-0.027762432,3.7854
bias_tr3,MHDS,-0.047169399,3.688666667
bias_tr4,MHDS,0.005015002,0.707933333
bias_tr5,MHDS,-0.09093414,7.202466667
bias_tr6,MHDS,-0.054695443,6.428733333
bias_tr7,MHDS,0.018758169,3.147533333
bias_tr8,MHDS,-0.00446176,2.074
bias_tr9,MHDS,0.011175504,0.7668
bias_tr10,MHDS,0.011780465,0.698533333
bias_tr11,MHDS,-0.077380067,9.5928
bias_tr12,MHDS,0.036055065,2.133866667
bias_tr13,MHDS,-0.050950043,6.6872
bias_tr14,MHDS,-0.009973576,3.021066667
bias_tr15,MHDS,0.008840918,4.177866667
bias_tr16,MHDS,0.002303051,3.752266667
bias_tr17,MHDS,0.024882573,5.102866667
bias_tr18,MHDS,-0.06899454,6.009666667
bias_tr19,MHDS,-0.088063194,7.059066667
bias_tr20,MHDS,-0.084292628,7.9896
bias_tr21,MHDS,-0.014568176,6.656733333
bias_tr22,MHDS,-0.024724801,2.609866667
bias_tr23,MHDS,0.020066573,2.926066667
bias_tr24,MHDS,-0.142534021,7.823666667
bias_tr25,MHDS,-0.043243143,3.6926
bias_tr26,MHDS,-0.009315224,1.670333333
bias_tr27,MHDS,0.001982544,1.673
bias_tr28,MHDS,0.019006434,1.792466667
bias_tr29,MHDS,0.060157417,3.664333333
bias_tr30,MHDS,-0.013417691,9.0166
bias_tr31,MHDS,0.227963191,11.43453333
bias_tr32,MHDS,0.064469908,8.479066667
bias_tr33,MHDS,0.013900271,2.427133333
bias_tr34,MHDS,-0.012574823,1.159133333
bias_tr35,MHDS,-0.026464048,2.9212
bias_tr36,MHDS,-0.020312777,9.1962
bias_tr37,MHDS,-0.037721158,21.21686667
bias_tr38,MHDS,-0.148545349,25.37433333
bias_tr39,MHDS,0.153340978,14.7612
bias_tr40,MHDS,0.39460417,27.56786667
bias_tr41,MHDS,-0.123987455,23.14626667
bias_tr42,MHDS,0.042933389,19.10893333
bias_tr43,MHDS,-0.065986574,23.80953333
bias_tr44,MHDS,-0.088660683,25.02793333
bias_tr45,MHDS,-0.18053398,17.90926667
bias_tr46,MHDS,-0.062674336,24.385
