Transects,Tr_id,Model,mean,sd,l25,u95
T1,1,MHDS,-0.015041851,4.299620066,-11.2553918,5.215868683
T1,1,HDS,0.021226089,4.356628284,-10.9502531,5.540442104
T2,2,MHDS,0.362244082,18.33397941,-48.31695416,21.63740097
T2,2,HDS,-0.090478682,19.76929807,-52.22573922,22.7756147
T3,3,MHDS,0.131488923,19.27876474,-51.00212935,21.81207229
T3,3,HDS,0.035185001,19.66967545,-52.02728344,23.26858404
T4,4,MHDS,-0.367377652,23.77900126,-60.01586377,31.45612841
T4,4,HDS,-0.092477799,43.57483726,-81.83895433,55.52774897
T5,5,MHDS,-0.070330909,7.485614058,-19.51800423,8.622834089
T5,5,HDS,-0.054571907,7.221078793,-18.76911808,8.479259136
T6,6,MHDS,-0.030548182,9.133104457,-24.51771679,10.53654364
T6,6,HDS,-0.09707944,9.280122242,-23.71048848,10.70507838
T7,7,MHDS,-0.550711748,22.04208114,-57.65467759,24.40927115
T7,7,HDS,0.085847684,22.13907206,-57.83494392,26.05077892
T8,8,MHDS,-0.1585353,25.50190465,-66.72955018,28.85290487
T8,8,HDS,0.36329186,26.2243868,-67.96451086,32.02131614
T9,9,MHDS,0.209431812,21.12923823,-52.10679662,28.83501442
T9,9,HDS,0.11979892,30.09404893,-65.19115004,41.45903361
T10,10,MHDS,-0.318459494,21.69055946,-51.11497153,30.73379043
T10,10,HDS,0.415070637,46.94581287,-66.14910189,56.40869079
T11,11,MHDS,0.004967721,3.32293266,-8.684912625,4.107061302
T11,11,HDS,0.064142678,3.294742951,-8.69316644,4.566506043
T12,12,MHDS,-0.095222836,18.35437113,-47.6630241,21.30768685
T12,12,HDS,0.252574258,18.93003342,-48.80896715,22.51610448
T13,13,MHDS,-0.067748355,8.935117935,-23.75861405,10.23746207
T13,13,HDS,-0.035943277,8.749206196,-22.68472049,10.53455992
T14,14,MHDS,-0.171973271,22.35041599,-57.86399775,25.97856365
T14,14,HDS,-0.322218043,23.74984591,-61.34755777,27.82951393
T15,15,MHDS,0.008553038,11.96348792,-32.37389443,13.8434515
T15,15,HDS,0.029414124,11.65307365,-30.70441192,13.45876566
T16,16,MHDS,-0.007703615,18.64559555,-49.70562963,21.30381913
T16,16,HDS,0.140721925,19.15043369,-49.84341568,23.00767466
T17,17,MHDS,-0.045456801,12.07858172,-32.55131051,13.68105609
T17,17,HDS,0.0898019,12.23129655,-31.51715785,14.16862106
T18,18,MHDS,-0.110260363,10.12000346,-26.92888423,11.61077088
T18,18,HDS,0.079596754,10.21264259,-25.76894174,11.99671616
T19,19,MHDS,0.076031079,7.60658458,-19.90567587,8.924151415
T19,19,HDS,0.11175323,7.357087775,-19.20141716,9.170059104
T20,20,MHDS,0.032720989,6.369922851,-16.63120376,7.340135728
T20,20,HDS,-0.012809112,6.28112342,-16.6374996,7.622014772
T21,21,MHDS,0.007110445,7.834640149,-20.45189515,9.101770925
T21,21,HDS,0.022240899,7.586246669,-19.90653598,9.183976369
T22,22,MHDS,0.087664159,22.24505416,-59.57857435,25.4092163
T22,22,HDS,-0.15719101,23.7956835,-63.4340336,27.2506382
T23,23,MHDS,0.147519906,20.37509721,-53.25151245,23.60870482
T23,23,HDS,-0.061583997,21.17890787,-55.03228759,25.12497405
T24,24,MHDS,0.073364883,5.823191368,-15.31013587,7.05748001
T24,24,HDS,0.008328898,5.925413953,-15.99192323,7.268492071
T25,25,MHDS,0.046232388,17.54778277,-46.0631024,20.10504991
T25,25,HDS,-0.091112884,18.58157205,-49.31638865,21.35566999
T26,26,MHDS,-0.144044604,22.74491067,-59.44486657,25.89033725
T26,26,HDS,-0.003629323,23.30239124,-61.36268847,27.14945302
T27,27,MHDS,-0.044739741,24.80486159,-66.60863736,28.83881964
T27,27,HDS,-0.196021719,26.78260169,-70.92735774,31.58206743
T28,28,MHDS,0.076104372,23.83094198,-63.41747297,27.61098185
T28,28,HDS,0.526492588,23.95175127,-62.91283004,28.85966931
T29,29,MHDS,-0.004472329,15.13627563,-39.85253269,17.57052349
T29,29,HDS,0.057241424,15.66604456,-42.04622167,18.36163953
T30,30,MHDS,-0.00503584,4.525522162,-11.55839524,5.515656373
T30,30,HDS,0.009861839,4.549614838,-11.54711037,5.771879446
T31,31,MHDS,0.004977441,0.738778672,-1.831989761,0.91442435
T31,31,HDS,-0.001032257,0.448701364,-0.969560196,0.532611878
T32,32,MHDS,0.030063207,4.473344097,-11.48702056,5.371933289
T32,32,HDS,-0.034393955,4.192795847,-11.14524531,5.306118622
T33,33,MHDS,0.397430496,23.22402567,-60.96594533,27.73069942
T33,33,HDS,0.19003117,24.8486698,-65.22982784,29.50170896
T34,34,MHDS,-0.029844039,17.12710051,-44.44799287,20.36543414
T34,34,HDS,0.213947851,17.05784228,-43.91952886,21.42259552
T35,35,MHDS,-0.049210821,21.51234437,-58.35521045,24.76733785
T35,35,HDS,-0.400884132,22.15951055,-57.90604198,25.67106265
T36,36,MHDS,-0.046551368,3.049394762,-7.92781673,3.806649597
T36,36,HDS,-0.013204302,3.081645371,-7.859604993,4.136167388
