Region.Label,Area,Sample.Label.original,object,Effort.original,distance,dist,grouping,Sample.Label,Effort
Kal.mara,580,1,1,3.06,3,1,1,1,12.207
Kal.mara,580,1,2,3.06,8,2,1,1,12.207
Kal.mara,580,2,NA,3,NA,,1,1,12.207
Kal.mara,580,3,NA,3.02,NA,,1,1,12.207
Kal.mara,580,4,3,3.127,3,1,1,1,12.207
Kal.mara,580,4,4,3.127,7,2,1,1,12.207
Kal.mara,580,5,NA,3,NA,,1,2,18.06
Kal.mara,580,6,NA,3,NA,,1,2,18.06
Kal.mara,580,7,5,3,5,1,1,2,18.06
Kal.mara,580,8,6,3.04,20,4,1,2,18.06
Kal.mara,580,8,7,3.04,29,6,1,2,18.06
Kal.mara,580,8,8,3.04,14,3,1,2,18.06
Kal.mara,580,8,9,3.04,29,6,1,2,18.06
Kal.mara,580,9,NA,3,NA,,1,2,18.06
Kal.mara,580,10,NA,3.02,NA,,1,2,18.06
Kal.mara,580,11,10,3,9,2,2,3,15.221
Kal.mara,580,11,11,3,11,3,2,3,15.221
Kal.mara,580,11,12,3,14,3,2,3,15.221
Kal.mara,580,11,13,3,16,4,2,3,15.221
Kal.mara,580,11,14,3,5,1,2,3,15.221
Kal.mara,580,12,15,3,9,2,2,3,15.221
Kal.mara,580,12,16,3,12,3,2,3,15.221
Kal.mara,580,12,17,3,14,3,2,3,15.221
Kal.mara,580,12,18,3,19,4,2,3,15.221
Kal.mara,580,12,19,3,21,5,2,3,15.221
Kal.mara,580,13,20,3.121,8,2,2,3,15.221
Kal.mara,580,13,21,3.121,13,3,2,3,15.221
Kal.mara,580,13,22,3.121,15,3,2,3,15.221
Kal.mara,580,13,23,3.121,23,5,2,3,15.221
Kal.mara,580,13,24,3.121,1,1,2,3,15.221
Kal.mara,580,13,25,3.121,1,1,2,3,15.221
Kal.mara,580,13,26,3.121,1,1,2,3,15.221
Kal.mara,580,14,27,3.05,31,7,2,3,15.221
Kal.mara,580,14,28,3.05,19,4,2,3,15.221
Kal.mara,580,14,29,3.05,21,5,2,3,15.221
Kal.mara,580,14,30,3.05,22,5,2,3,15.221
Kal.mara,580,15,NA,3.05,NA,,2,3,15.221
