transects,model,bias_per_transect,observed_dung
bias_tr1,HDS,-1.08E-05,0.1462
bias_tr2,HDS,-0.018605342,2.5588
bias_tr3,HDS,-0.025075284,2.4758
bias_tr4,HDS,0.238470323,21.21473333
bias_tr5,HDS,-0.013185145,0.400933333
bias_tr6,HDS,0.005901357,0.494066667
bias_tr7,HDS,-0.020823917,4.177466667
bias_tr8,HDS,-0.036835843,11.2832
bias_tr9,HDS,0.227380973,25.44173333
bias_tr10,HDS,-0.152862954,29.8754
bias_tr11,HDS,0.002029601,0.090466667
bias_tr12,HDS,0.005874921,1.248933333
bias_tr13,HDS,0.000958794,0.430266667
bias_tr14,HDS,-0.012512536,4.253466667
bias_tr15,HDS,0.005895301,0.854533333
bias_tr16,HDS,-0.031980599,2.1244
bias_tr17,HDS,0.002819479,0.7968
bias_tr18,HDS,0.015570715,0.5918
bias_tr19,HDS,-0.006694531,0.318466667
bias_tr20,HDS,0.005224681,0.247133333
bias_tr21,HDS,-0.004823422,0.4056
bias_tr22,HDS,-0.010229914,6.898933333
bias_tr23,HDS,-0.015743142,5.129733333
bias_tr24,HDS,0.005924938,0.233333333
bias_tr25,HDS,0.043957873,2.8132
bias_tr26,HDS,-0.016654802,7.328266667
bias_tr27,HDS,-0.029085454,8.459533333
bias_tr28,HDS,0.034165767,6.8086
bias_tr29,HDS,-0.005830594,1.966266667
bias_tr30,HDS,0.001553442,0.140333333
bias_tr31,HDS,0.000688277,0.0286
bias_tr32,HDS,-0.002198869,0.143466667
bias_tr33,HDS,0.062905028,7.562533333
bias_tr34,HDS,-0.044785756,7.9068
bias_tr35,HDS,0.010427278,4.970133333
bias_tr36,HDS,0.003266407,0.066266667
