Region.Label,Area,Sample.Label,object,Effort,Census,distance,dist
Kal.Mara,580,1,1,3.06,2,3,1
Kal.Mara,580,1,2,3.06,2,8,2
Kal.Mara,580,2,NA,3,,NA,
Kal.Mara,580,3,NA,3.02,,NA,
Kal.Mara,580,4,3,3.127,2,3,1
Kal.Mara,580,4,4,3.127,2,7,2
Kal.Mara,580,5,NA,3,,NA,
Kal.Mara,580,6,NA,3,,NA,
Kal.Mara,580,7,5,3,2,5,1
Kal.Mara,580,8,6,3.04,2,20,4
Kal.Mara,580,8,7,3.04,2,29,6
Kal.Mara,580,8,8,3.04,3,14,3
Kal.Mara,580,8,9,3.04,3,29,6
Kal.Mara,580,9,NA,3,,NA,
Kal.Mara,580,10,NA,3.02,,NA,
Kal.Mara,580,11,10,3,2,9,2
Kal.Mara,580,11,11,3,2,11,3
Kal.Mara,580,11,12,3,2,14,3
Kal.Mara,580,11,13,3,2,16,4
Kal.Mara,580,11,14,3,3,5,1
Kal.Mara,580,12,15,3,2,9,2
Kal.Mara,580,12,16,3,2,12,3
Kal.Mara,580,12,17,3,2,14,3
Kal.Mara,580,12,18,3,2,19,4
Kal.Mara,580,12,19,3,2,21,5
Kal.Mara,580,13,20,3.121,2,8,2
Kal.Mara,580,13,21,3.121,2,13,3
Kal.Mara,580,13,22,3.121,2,15,3
Kal.Mara,580,13,23,3.121,2,23,5
Kal.Mara,580,13,24,3.121,3,1,1
Kal.Mara,580,13,25,3.121,3,1,1
Kal.Mara,580,13,26,3.121,3,1,1
Kal.Mara,580,14,27,3.05,3,31,7
Kal.Mara,580,14,28,3.05,2,19,4
Kal.Mara,580,14,29,3.05,2,21,5
Kal.Mara,580,14,30,3.05,2,22,5
Kal.Mara,580,15,NA,3.05,,NA,
Kal.Mara,580,16,NA,3,,NA,
Kal.Mara,580,17,NA,3,,NA,
Kal.Mara,580,18,31,3,2,4,1
Kal.Mara,580,18,32,3,2,7,2
Kal.Mara,580,18,33,3,2,10,2
Kal.Mara,580,18,34,3,2,11,3
Kal.Mara,580,18,35,3,2,12,3
Kal.Mara,580,18,36,3,2,14,3
Kal.Mara,580,18,37,3,2,17,4
Kal.Mara,580,18,38,3,2,20,4
Kal.Mara,580,18,39,3,3,10,2
Kal.Mara,580,18,40,3,3,13,3
Kal.Mara,580,19,41,3.313,3,11,3
Kal.Mara,580,19,42,3.313,3,13,3
Kal.Mara,580,19,43,3.313,3,15,3
Kal.Mara,580,19,44,3.313,3,15,3
Kal.Mara,580,19,45,3.313,2,15,3
Kal.Mara,580,20,46,3,2,4,1
Kal.Mara,580,20,47,3,2,9,2
Kal.Mara,580,20,48,3,2,11,3
Kal.Mara,580,21,49,3,2,2,1
Kal.Mara,580,21,50,3,2,5,1
Kal.Mara,580,21,51,3,2,13,3
Kal.Mara,580,22,NA,3,,NA,
Kal.Mara,580,23,NA,3.045,,NA,
