Transects,Tr_id,Model,mean,sd,l25,u95
T40,40,HDS,-0.224467865,20.60161234,-53.95308034,25.99182531
T41,41,MHDS,0.018270013,30.08427102,-75.98725028,40.43332121
T41,41,HDS,0.140500637,14.53148519,-36.11939606,20.93448739
T42,42,MHDS,0.109637514,34.25516147,-84.11298892,47.18142455
T42,42,HDS,-0.049297919,17.48642213,-40.45469169,24.98938826
T43,43,MHDS,-0.138634373,16.44279039,-42.60261735,19.82400469
T43,43,HDS,0.011283809,18.86983671,-49.36019719,24.87746132
T44,44,MHDS,0.086568862,23.68753428,-60.6490058,29.82570654
T44,44,HDS,-0.185258764,14.88440849,-38.17238361,19.6419909
T45,45,MHDS,-1.087220486,35.06955774,-91.13636458,47.09412121
T45,45,HDS,-0.068636436,18.49850109,-43.69693765,25.52782466
T46,46,MHDS,0.018129022,27.94835029,-74.35698933,35.45943831
T46,46,HDS,-0.039065446,17.19033123,-44.22537521,22.76317549
